State,District,University Type,University Name,University_Name_Cleaned,University ID,College Name,College_Name_Cleaned,College Id,College Type,Address,Website,Management,Year of Establishment,Specialised in,Location,Upload Year,The Institute Added In Survey Year,Location_Cleaned,Management_Cleaned,Segregation_type,Year_of_Establishment_cleaned
Kerala,Malappuram,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,KRs SREENARAYANA COLLEGE (Id: C-54203),KRs SREENARAYANA COLLEGE,C-54203,Affiliated College,"Thozuvanoor, Valanchery, Valanchery",www.krssnc.com,Private Un-Aided,2015,No,Rural,2020,2015,Rural,Private Un-Aided,Private,2015
Kerala,Kannur,State Public University,"Kannur University, Kannur (Id: U-0256)","Kannur University, Kannur",U-0256,"K.M.M Govt Women's College , Kannur (Id: C-43857)","K.M.M Govt Women's College , Kannur",C-43857,Affiliated College,"Pallikkunnu P O Kannur Pin 670004, Pallikkunnu P O Kannur Pin 670004, Kannur",www.kmmgwc.ac.in,State Government,1975,No,Urban,2020,2010,Urban,State Government,Government,1975
Kerala,Idukki,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,GOVERNMENT COLLEGE SANTHANPARA (Id: C-66084),GOVERNMENT COLLEGE SANTHANPARA,C-66084,Affiliated College,,,,,,,NO,2020,Not Defined,Not Defined,Not Defined,Not Defined
Kerala,Alappuzha,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"SREE NARAYANA COLLEGE OF ADVANCED STUDIES KUTTANADU, MONCOMPU , THEKKEKARA (Id: C-54053)","SREE NARAYANA COLLEGE OF ADVANCED STUDIES KUTTANADU, MONCOMPU , THEKKEKARA",C-54053,Affiliated College,"MONCOMPU, THEKKEKARA, MONCOMPU",,Private Un-Aided,2014,No,Rural,2017,2014,Rural,Private Un-Aided,Private,2014
Kerala,Ernakulam,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"Adi Sankara Training College, Sankar Nagar, Mattoor, Kalady, Ernakulam  - 683 574 (Id: C-11799)","Adi Sankara Training College, Sankar Nagar, Mattoor, Kalady, Ernakulam - 683 574",C-11799,Affiliated College,"Sankar Nagar Mattoor, Kalady, Ernakulam",www.adisankaratrainingcollege.com,Private Un-Aided,2005,No,Rural,2020,2010,Rural,Private Un-Aided,Private,2005
Kerala,Ernakulam,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"St. Paul's College, Kalamasserry - 683 503 (Id: C-11796)","St. Paul's College, Kalamasserry - 683 503",C-11796,Affiliated College,"H.M.T. Colony P.O., Kalamasserry, Cochin",www.stpauls.ac.in,Private Aided,1965,No,Urban,2020,2010,Urban,Private Aided,Private,1965
Kerala,Pathanamthitta,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"St. Thomas College, Kozhencherry 689 641 (Id: C-11652)","St. Thomas College, Kozhencherry 689 641",C-11652,Affiliated College,"Kozhencherry P. O., Kozhencherry",www.stthomascollege.info,Private Aided,1953,No,Rural,2020,2010,Rural,Private Aided,Private,1953
Kerala,Kollam,State Public University,"University of Kerala, Thiruvananthapuram (Id: U-0260)","University of Kerala, Thiruvananthapuram",U-0260,"Badhariya B.Ed Training College, Velichikkala, Kollam (Id: C-43730)","Badhariya B.Ed Training College, Velichikkala, Kollam",C-43730,Affiliated College,"Velichikkala, Kollam, Kollam",www.badhiriyaedu.in,Private Un-Aided,2007,Education/Teacher Education,Rural,2020,2010,Rural,Private Un-Aided,Private,2007
Kerala,Thiruvananthapuram,State Public University,"University of Kerala, Thiruvananthapuram (Id: U-0260)","University of Kerala, Thiruvananthapuram",U-0260,"VIDYA ACADEMY OF SCIENCE AND TECHNOLOGY - TECHNICAL CAMPUS, KILIMANOOR (Id: C-49991)","VIDYA ACADEMY OF SCIENCE AND TECHNOLOGY - TECHNICAL CAMPUS, KILIMANOOR",C-49991,Affiliated College,"MALAKKAL P.O, MADAVOOR, KILIMANOOR, THIRUVANANTHAPURAM",vidyatcklmr.ac.in,Private Un-Aided,2013,Engineering & Technology,Rural,2020,2013,Rural,Private Un-Aided,Private,2013
Kerala,Malappuram,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,"M.I.TRAINING COLLEGE, PONNANI (Id: C-8188)","M.I.TRAINING COLLEGE, PONNANI",C-8188,Affiliated College,"PUTHUPONNANI, P.O.PONNANI SOUTH, 679586, PONNANI",WWW.MITRAININGCOLLGE.COM,Private Un-Aided,2006,No,Urban,2020,2010,Urban,Private Un-Aided,Private,2006
Kerala,Ernakulam,State Public University,KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES (Id: U-0630),KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES,U-0630,"GOVERNMENT NURSING COLLEGE, ERNAKULAM (Id: C-49795)","GOVERNMENT NURSING COLLEGE, ERNAKULAM",C-49795,Affiliated College,"HMT COLONY, KALAMASSERY, ERNAKULAM",,State Government,2009,Nursing,Urban,2020,2012,Urban,State Government,Government,2009
Kerala,Pathanamthitta,State Public University,A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY (Id: U-0786),A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY,U-0786,"College of Engineering ,Adoor (Id: C-44823)","College of Engineering ,Adoor",C-44823,Recognized Center,"Manakkala P O, ADOOR, Adoor",www.ceadoor.ihrd.ac.in,State Government,1995,No,Rural,2020,2010,Rural,State Government,Government,1995
Kerala,Ernakulam,Central University,Indian Maritime University (Id: U-0457),Indian Maritime University,U-0457,"INDIAN MARITIME UNIVERSITY, KOCHI (Id: C-61030)","INDIAN MARITIME UNIVERSITY, KOCHI",C-61030,Constituent / University College,"SER Area, NH-47A, Nr. Alexander Parambithara Bridge, Matsyapuri P. O., W. Island, KOCHI",www.imu.edu.in,Central Government,2008,Management,Urban,2020,2018,Urban,Central Government,Government,2008
